Epic ID,Epic Name,Category,Ticket Key,Title,Issue Type,Priority,Story Points,Sprint,User Story,Acceptance Criteria
EPIC-SCALE,Infrastructure & Data Scaling,Infrastructure,TICKET-SCALE-101,Configure PgBouncer & SQLAlchemy Async Pool,Technical Task,High,3,Sprint 1,"As a System Architect, I want Postgres connection pooling so that queries execute in <15ms under high concurrent load.",PgBouncer sidecar configured; 500+ concurrent requests handled without connection starvation errors.
EPIC-SCALE,Infrastructure & Data Scaling,Infrastructure,TICKET-SCALE-102,Implement Composite B-Tree & JSONB GIN Database Indexing,Technical Task,High,2,Sprint 1,"As a Database Admin, I want optimized indexing so that health record lookup latency drops by >70%.","Composite indexes on (account_id, created_at) and JSONB GIN index created; query latency <10ms."
EPIC-SCALE,Infrastructure & Data Scaling,Infrastructure,TICKET-SCALE-103,Redis Read-Through Caching Layer for Catalog & Vitals,Technical Task,Medium,3,Sprint 2,"As a Backend Engineer, I want catalog and vitals cached in Redis so that response times remain under 5ms.",Redis cache TTL set to 15m; cache hit ratio >85%; catalog response time <5ms.
EPIC-SCALE,Infrastructure & Data Scaling,Infrastructure,TICKET-SCALE-104,Celery & Redis Worker Cluster for Async AI Loops,Technical Task,High,5,Sprint 2,"As a System Developer, I want heavy AI calculations offloaded to background Celery workers so API endpoints stay responsive.",Celery cluster processes adherence loops and blood SOS broadcasts asynchronously with zero main thread blocking.
EPIC-MONITOR,"APM, Monitoring & Observability",Observability,TICKET-MON-201,Integrate OpenTelemetry Tracing & Prometheus Metrics,Technical Task,High,5,Sprint 1,"As a DevOps Engineer, I want distributed tracing and Prometheus metrics so that system bottlenecks are detected instantly.","FastAPI instrumented with OpenTelemetry SDK; `/metrics` endpoint exports request rate, error rate, and duration histogram."
EPIC-MONITOR,"APM, Monitoring & Observability",Observability,TICKET-MON-202,Deploy Grafana Dashboards & Sentry Exception Alerts,Technical Task,Medium,3,Sprint 1,"As an Ops Lead, I want Grafana dashboards and Sentry real-time error alerts so that downtime causes are diagnosed in <5 minutes.","Grafana dashboards show API latency p95/p99, DB connection stats, and Sentry triggers Slack alerts on HTTP 5xx spikes."
EPIC-QA-TEST,Comprehensive Testing & Quality Assurance,Quality Assurance,TICKET-QA-301,Vitest & React Testing Library Frontend Unit Test Suite,QA Task,High,5,Sprint 1,"As a Frontend Engineer, I want Vitest component tests so that UI regressions are caught before pull requests are merged.","100+ component unit tests created for Voice Rx Modal, Catalog Storefront, and Vitals Scanner; code coverage >85%."
EPIC-QA-TEST,Comprehensive Testing & Quality Assurance,Quality Assurance,TICKET-QA-302,Expand Pytest Backend Unit & Mocked Integration Suite,QA Task,High,3,Sprint 1,"As a Backend QA Engineer, I want mocked API integration tests for external providers (Tata 1mg, Twilio, ABDM) so CI builds run fast and reliably.",80+ Pytest unit tests passing; all external HTTP calls mocked with pytest-mock; 100% deterministic test runs.
EPIC-QA-TEST,Comprehensive Testing & Quality Assurance,Quality Assurance,TICKET-QA-303,Automated E2E Playwright Browser Test Suite,QA Task,High,5,Sprint 4,"As a Product Owner, I want automated E2E user flow tests so that login, checkout, and AI voice dictation work end-to-end.",Headless Playwright test suite covers 5 key user journeys with screenshot artifacts on failure.
EPIC-DEV-CORE,Core Healthcare & Tata 1mg Integration,Product Feature,TICKET-DEV-401,Real-Time Tata 1mg Inventory & Catalog Sync,Feature,High,5,Sprint 1,"As a Student, I want live medicine prices and stock levels so that I can buy prescribed drugs at discounted rates.","Catalog API synchronizes stock availability, pricing in paise, and active chemical ingredients."
EPIC-DEV-CORE,Core Healthcare & Tata 1mg Integration,Product Feature,TICKET-DEV-402,1-Click Order Checkout & Delivery Address Gateway,Feature,High,5,Sprint 3,"As a Student, I want 1-click cart checkout with campus address delivery so that my prescriptions are delivered directly to my hostel.","Orders created with line items, Care Points discount applied, status tracked from PENDING to DELIVERED."
EPIC-BRANDING,"Branding, UI System & Logo Assets",Design & UI,TICKET-BRAND-501,Create Studentkare Vector Logo Suite & Favicon Assets,Design Task,Medium,2,Sprint 1,"As a Brand Designer, I want high-resolution SVG logos and favicons so that the platform presentation feels premium and consistent.","Dark/Light vector SVG logos, PNG icons (192x192, 512x512), and favicon bundle added to `public/` directory."
EPIC-BRANDING,"Branding, UI System & Logo Assets",Design & UI,TICKET-BRAND-502,Refactor UI Components to Impilo Pearl Design Tokens,Frontend Task,Medium,3,Sprint 2,"As a Frontend Developer, I want CSS design tokens for color, typography, and spacing so that UI design is maintainable.","All component hardcoded colors replaced with CSS variables (`--color-primary`, `--color-accent`, `--bg-card`)."
EPIC-ANALYTICS,Analytics & User Behavioral Telemetry,Analytics,TICKET-ANA-601,Integrate PostHog Product Analytics SDK & Conversion Funnels,Feature,High,3,Sprint 2,"As a Product Manager, I want user analytics event tracking so that conversion funnels and feature usage can be measured.","PostHog JS SDK tracking pageviews, voice prescription attempts, and lab package bookings with zero PII leakage."
EPIC-FIREBASE,Firebase Authentication & Push Notifications,Mobile & Cloud,TICKET-FIRE-701,Firebase Cloud Messaging (FCM) Push Notification Engine,Feature,High,5,Sprint 2,"As a Student, I want real-time push notifications on my phone for medication reminders and order status updates.","FCM web/mobile push notification triggers sent for daily pill intake, lab slot arrival, and emergency blood alerts."
EPIC-FIREBASE,Firebase Authentication & Push Notifications,Mobile & Cloud,TICKET-FIRE-702,Firestore Real-time Sync for Chat & Phlebotomist Tracking,Feature,Medium,5,Sprint 3,"As a Patient, I want live GPS location tracking of the dispatched phlebotomist on a map so I know when they will arrive.",Firestore realtime database updates phlebotomist latitude/longitude coordinates on the student map view.
EPIC-WORKFLOW-AUTO,Healthcare Flow Automation & Escalations,Workflow Engine,TICKET-FLOW-801,Automated Post-Consultation Follow-Up Workflow Engine,Feature,High,5,Sprint 3,"As a Clinician, I want automated 48-hour follow-up messages sent to patients so that recovery is monitored automatically.",Automated follow-up state machine schedules check-in messages 48h after consultation completion.
EPIC-WORKFLOW-AUTO,Healthcare Flow Automation & Escalations,Workflow Engine,TICKET-FLOW-802,Critical Vitals Abnormal Result Escalation Loop,Feature,High,5,Sprint 3,"As a Health Officer, I want high BP or low SpO2 vitals scans to automatically trigger urgent doctor triage alerts.",Vitals scan with SpO2 < 92% or Systolic > 160 triggers high-priority alert on Clinician Console.
EPIC-AGGREGATOR,Health Data Aggregator & ABDM FHIR Vault,Data Pipeline,TICKET-AGG-901,Multi-Source Wearable & Lab Data Aggregator Pipeline,Feature,High,8,Sprint 3,"As a Student, I want data from Apple Health, Google Health Connect, and uploaded PDF lab reports compiled into one record.","Aggregator normalizes heart rate, steps, and lab biomarker values into unified JSON format."
EPIC-AGGREGATOR,Health Data Aggregator & ABDM FHIR Vault,Data Pipeline,TICKET-AGG-902,ABDM FHIR R4 Bundle Compiler & Health Vault Linker,Feature,High,8,Sprint 3,"As a Compliance Officer, I want records formatted as ABDM FHIR R4 bundles so that health history is portable nationwide.","Generates valid FHIR DiagnosticReport, Prescription, and Condition bundles linked to ABHA ID."
EPIC-DEV-AI,Autonomous AI Agents & Voice Acoustics,AI / ML,TICKET-AI-1001,Multi-Language Medical Speech-to-Text Scribe (EN / TE / HI),Feature,High,5,Sprint 2,"As a Doctor, I want to dictate prescriptions orally in English, Telugu, or Hindi so that prescriptions are automatically transcribed.","Accurately transcribes spoken brand names (Dolo, Pantocid) and outputs structured dosage items."
EPIC-DEV-AI,Autonomous AI Agents & Voice Acoustics,AI / ML,TICKET-AI-1002,"Voice Acoustics Respiratory Biomarker Analyzer (F0, Jitter, Shimmer)",Feature,Medium,5,Sprint 2,"As a Clinician, I want voice acoustic markers analyzed from vocal recording so that respiratory wheezing is detected early.","Calculates F0 pitch frequency, vocal jitter %, shimmer %, and flags acoustic cough wheeze patterns."
EPIC-DATA-ANALYSIS,Data Analysis & Population Health Analytics,Data Science,TICKET-DATA-1101,Campus Population Health & Outbreak Trend Analytics,Feature,High,5,Sprint 4,"As a Campus Medical Director, I want aggregated health trends so that potential flu or dengue outbreaks are spotted early.","Dashboard visualizes symptom frequency by hostel block, fever spikes, and lab result trends."
EPIC-DATA-ANALYSIS,Data Analysis & Population Health Analytics,Data Science,TICKET-DATA-1102,Predictive Health Risk Scoring Engine,Feature,Medium,5,Sprint 4,"As a Preventive Care Specialist, I want predictive health risk scores so that high-risk students receive targeted wellness interventions.","Algorithm combines vitals trends, posture scores, and adherence rate to output risk tier (Low, Moderate, Elevated)."
EPIC-MOBILE-PWA,Offline-First PWA & Mobile Synchronization,Mobile App,TICKET-PWA-1201,IndexedDB Offline Health Data Cache & Sync,Feature,High,5,Sprint 2,"As a Student, I want my health vault and emergency blood contact numbers stored offline so I can access them without internet.","IndexedDB stores active prescriptions, vitals, and emergency SOS contacts; works 100% offline."
EPIC-MOBILE-PWA,Offline-First PWA & Mobile Synchronization,Mobile App,TICKET-PWA-1202,Service Worker Background Sync for Vitals Submission,Feature,Medium,3,Sprint 2,"As a Mobile User, I want offline vitals logs synced automatically when internet re-connects so that no data is lost.",Service Worker queues offline vitals POST requests and flushes queue upon network re-connection.
EPIC-WEBRTC-VIDEO,WebRTC HD Video Tele-Consultation Engine,Realtime Video,TICKET-RTC-1301,WebRTC P2P Video Call Setup with TURN/STUN Cluster,Feature,High,8,Sprint 3,"As a Patient, I want high-definition video calls with campus doctors so I can receive remote consultations.",WebRTC P2P video stream initialized with coturn STUN/TURN fallback; latency < 150ms.
EPIC-WEBRTC-VIDEO,WebRTC HD Video Tele-Consultation Engine,Realtime Video,TICKET-RTC-1302,Interactive Doctor-Patient Report Whiteboard,Feature,Medium,5,Sprint 3,"As a Doctor, I want to annotate X-rays and lab PDFs on an interactive call whiteboard so patients understand their diagnosis.",Realtime HTML5 canvas sync over WebSocket allows live drawing annotations on lab documents during video calls.
EPIC-CLAIMS-ENGINE,Claims Rule Engine & Insurance Pre-Auth,FinTech & Insurance,TICKET-CLM-1401,Drools Rules Engine for Itemized Invoice Validation,Feature,High,8,Sprint 3,"As an Insurance Claim Evaluator, I want automated policy rule checks so that pre-authorization approval takes seconds.","Rules engine parses room rent, pharmacy items, non-medical deductibles, and flags policy mismatches automatically."
